,Date,Open,High,Low,Close,Adj Close,Volume,openUp,openDown,gapUp,gapDown,future_mv,future_cat
10156,2011-05-05,2812.840088,2845.850098,2804.820068,2814.719971,2814.719971,2227690000,0,1,0,0,0.004561763916940611,5
10157,2011-05-06,2840.709961,2859.25,2818.649902,2827.560059,2827.560059,2043740000,1,0,0,0,0.0055489328865216125,5
10158,2011-05-09,2828.23999,2850.389893,2823.669922,2843.25,2843.25,1649110000,1,0,0,0,0.01007294223160117,7
10159,2011-05-10,2851.909912,2873.639893,2850.01001,2871.889893,2871.889893,2018000000,1,0,1,0,-0.009342222369108118,4
10160,2011-05-11,2867.159912,2874.610107,2829.679932,2845.060059,2845.060059,2258770000,0,1,0,0,0.006319718960983828,5
10161,2011-05-12,2833.669922,2865.860107,2819.370117,2863.040039,2863.040039,2209650000,0,1,0,0,-0.012074601657360892,2
10162,2011-05-13,2859.699951,2861.51001,2827.51001,2828.469971,2828.469971,1917050000,0,1,0,0,-0.016319746178418974,2
10163,2011-05-16,2815.899902,2828.139893,2779.540039,2782.310059,2782.310059,2066020000,0,1,0,1,0.0003234369933319179,5
10164,2011-05-17,2769.169922,2783.610107,2759.290039,2783.209961,2783.209961,2220440000,0,1,0,1,0.011422077186220583,7
10165,2011-05-18,2782.649902,2817.149902,2780.830078,2815.0,2815.0,1875150000,0,1,0,0,0.0029520635879218154,5
10166,2011-05-19,2824.050049,2828.409912,2805.120117,2823.310059,2823.310059,1753390000,1,0,1,0,-0.007080338532523862,4
10167,2011-05-20,2815.959961,2821.439941,2796.27002,2803.320068,2803.320068,1780140000,0,1,0,0,-0.015845556312694253,2
10168,2011-05-23,2761.959961,2770.51001,2750.639893,2758.899902,2758.899902,1795680000,0,1,0,1,-0.004617778988923982,4
10169,2011-05-24,2766.699951,2767.5,2744.01001,2746.159912,2746.159912,1875370000,1,0,0,0,0.005542274116482691,5
10170,2011-05-25,2739.98999,2771.379883,2739.850098,2761.379883,2761.379883,1894510000,0,1,0,1,0.007800462056165409,5
10171,2011-05-26,2756.310059,2787.330078,2756.060059,2782.919922,2782.919922,1904400000,0,1,0,0,0.005009193721241372,5
10172,2011-05-27,2789.02002,2801.149902,2788.290039,2796.860107,2796.860107,1641320000,1,0,1,0,0.013743963061932284,7
10173,2011-05-31,2824.25,2835.340088,2808.600098,2835.300049,2835.300049,2450090000,1,0,1,0,-0.02331679429248296,1
10174,2011-06-01,2829.389893,2834.050049,2767.629883,2769.189941,2769.189941,2254850000,0,1,0,0,0.0014878423249334706,5
10175,2011-06-02,2773.76001,2784.570068,2759.169922,2773.310059,2773.310059,1919030000,1,0,0,0,-0.014614316155696711,2
10176,2011-06-03,2740.48999,2762.560059,2730.629883,2732.780029,2732.780029,1936400000,0,1,0,1,-0.011058325104585322,2
